[2024-12-02 06:20:14] ItemID: 2 | Lisinopril | REORDER | From: 90 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 4 | Metformin | REORDER | From: 100 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 5 | Oxycodone | REORDER | From: 75 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 6 | Sertraline | REORDER | From: 110 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 7 | Alprazolam | REORDER | From: 80 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 9 | Gabapentin | REORDER | From: 95 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 11 | Prednisone | REORDER | From: 115 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 12 | Amlodipine | REORDER | From: 85 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 13 | Methylphenidate | REORDER | From: 70 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 16 | Levothyroxine | REORDER | From: 105 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 17 | Morphine | REORDER | From: 60 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 20 | Tramadol | REORDER | From: 90 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 23 | Warfarin | REORDER | From: 65 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 24 | Venlafaxine | REORDER | From: 110 | To: 120 | By: SYSTEM
[2024-12-02 06:20:14] ItemID: 25 | Fentanyl | REORDER | From: 50 | To: 120 | By: SYSTEM
[2024-12-03 09:56:27] ItemID: 22 | Duloxetine | EXPIRY_REMOVAL | From: Quantity: 120, Expiry: 2024-11-05 | To: REMOVED | By: SYSTEM
[2024-12-03 14:39:56] ItemID: 23 | Warfarin | EXPIRY_REMOVAL | From: Quantity: 95, Expiry: 2024-10-25 | To: REMOVED | By: SYSTEM
[2024-12-03 14:40:58] ItemID: 2 | Lisinopril | REORDER | From: 90 | To: 120 | By: SYSTEM
